,,,,,,,,,,,,,,,,,,,,,,,,,,,max_TTL
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,19127,21594,60,20,20,20,,,,,,,,,,,,,,,,,,,21594
10.30.224.195,8.8.8.8,l2983942.iavs9x.u.avast.com,6838,21593,20,20,,,,,,,,,,,,,,,,,,,,,21593
10.30.224.195,8.8.8.8,c3978047.iavs9x.u.avast.com,93,21592,20,20,,,,,,,,,,,,,,,,,,,,,21592
10.30.224.195,8.8.8.8,c3978047.iavs9x.u.avast.com,93,21592,20,20,,,,,,,,,,,,,,,,,,,,,21592
10.30.224.195,8.8.8.8,p9854759.iavs9x.u.avast.com,2086,21592,20,20,,,,,,,,,,,,,,,,,,,,,21592
10.30.244.55,8.8.8.8,s-iavs9x.avcdn.net,779,21591,20,20,,,,,,,,,,,,,,,,,,,,,21591
10.30.244.55,8.8.8.8,s-iavs9x.avcdn.net,779,21591,20,20,,,,,,,,,,,,,,,,,,,,,21591
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21591,291,291,,,,,,,,,,,,,,,,,,,,,,21591
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21590,290,290,,,,,,,,,,,,,,,,,,,,,,21590
10.30.244.55,8.8.8.8,p9854759.iavs9x.u.avast.com,6280,21589,20,20,,,,,,,,,,,,,,,,,,,,,21589
10.30.221.65,8.8.8.8,nrdp-cell4.prod.ftl.netflix.com,21588,288,288,,,,,,,,,,,,,,,,,,,,,,21588
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21587,287,287,,,,,,,,,,,,,,,,,,,,,,21587
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21587,287,287,,,,,,,,,,,,,,,,,,,,,,21587
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21586,286,286,,,,,,,,,,,,,,,,,,,,,,21586
10.30.224.195,8.8.8.8,l2983942.iavs9x.u.avast.com,7138,21586,20,20,,,,,,,,,,,,,,,,,,,,,21586
10.30.224.195,8.8.8.8,t1024579.iavs9x.u.avast.com,6567,21586,20,20,,,,,,,,,,,,,,,,,,,,,21586
10.30.224.195,8.8.8.8,n4291289.iavs9x.u.avast.com,4703,21586,20,20,,,,,,,,,,,,,,,,,,,,,21586
